,Datetime,Resolution code,Control area,Physical Flow Value
32,2021-12-01 15:45:00,PT15M,Germany,-519.664
33,2021-12-01 15:30:00,PT15M,Germany,-501.404
34,2021-12-01 15:15:00,PT15M,Germany,-499.61199999999997
35,2021-12-01 15:00:00,PT15M,Germany,-503.444
36,2021-12-01 14:45:00,PT15M,Germany,-579.3240000000001
37,2021-12-01 14:30:00,PT15M,Germany,-586.464
38,2021-12-01 14:15:00,PT15M,Germany,-586.444
39,2021-12-01 14:00:00,PT15M,Germany,-595.22
40,2021-12-01 13:45:00,PT15M,Germany,-684.6560000000001
41,2021-12-01 13:30:00,PT15M,Germany,-693.368
42,2021-12-01 13:15:00,PT15M,Germany,-693.008
43,2021-12-01 13:00:00,PT15M,Germany,-687.952
44,2021-12-01 12:45:00,PT15M,Germany,-639.668
45,2021-12-01 12:30:00,PT15M,Germany,-634.78
46,2021-12-01 12:15:00,PT15M,Germany,-633.32
47,2021-12-01 12:00:00,PT15M,Germany,-573.996
48,2021-12-01 11:45:00,PT15M,Germany,-745.2439999999999
49,2021-12-01 11:30:00,PT15M,Germany,-751.944
50,2021-12-01 11:15:00,PT15M,Germany,-770.288
51,2021-12-01 11:00:00,PT15M,Germany,-762.3639999999999
52,2021-12-01 10:45:00,PT15M,Germany,-665.2
53,2021-12-01 10:30:00,PT15M,Germany,-649.604
54,2021-12-01 10:15:00,PT15M,Germany,-655.7719999999999
55,2021-12-01 10:00:00,PT15M,Germany,-642.64
56,2021-12-01 09:45:00,PT15M,Germany,-513.5319999999999
57,2021-12-01 09:30:00,PT15M,Germany,-501.276
58,2021-12-01 09:15:00,PT15M,Germany,-501.28
59,2021-12-01 09:00:00,PT15M,Germany,-511.74
60,2021-12-01 08:45:00,PT15M,Germany,-614.928
61,2021-12-01 08:30:00,PT15M,Germany,-624.604
62,2021-12-01 08:15:00,PT15M,Germany,-624.016
63,2021-12-01 08:00:00,PT15M,Germany,-596.836
