,Datetime,Resolution code,Control area,Physical Flow Value
0,2021-12-01 23:45:00,PT15M,Germany,-1001.788
1,2021-12-01 23:30:00,PT15M,Germany,-1002.1039999999999
2,2021-12-01 23:15:00,PT15M,Germany,-1001.796
3,2021-12-01 23:00:00,PT15M,Germany,-1001.716
4,2021-12-01 22:45:00,PT15M,Germany,-994.56
5,2021-12-01 22:30:00,PT15M,Germany,-999.2239999999999
6,2021-12-01 22:15:00,PT15M,Germany,-1001.7639999999999
7,2021-12-01 22:00:00,PT15M,Germany,-955.804
8,2021-12-01 21:45:00,PT15M,Germany,-919.788
9,2021-12-01 21:30:00,PT15M,Germany,-833.1160000000001
10,2021-12-01 21:15:00,PT15M,Germany,-854.2239999999999
11,2021-12-01 21:00:00,PT15M,Germany,-849.232
12,2021-12-01 20:45:00,PT15M,Germany,-625.54
13,2021-12-01 20:30:00,PT15M,Germany,-589.12
14,2021-12-01 20:15:00,PT15M,Germany,-600.396
15,2021-12-01 20:00:00,PT15M,Germany,-601.656
16,2021-12-01 19:45:00,PT15M,Germany,-666.628
17,2021-12-01 19:30:00,PT15M,Germany,-671.96
18,2021-12-01 19:15:00,PT15M,Germany,-655.76
19,2021-12-01 19:00:00,PT15M,Germany,-685.948
20,2021-12-01 18:45:00,PT15M,Germany,-857.436
21,2021-12-01 18:30:00,PT15M,Germany,-978.544
22,2021-12-01 18:15:00,PT15M,Germany,-997.7280000000001
23,2021-12-01 18:00:00,PT15M,Germany,-1001.64
24,2021-12-01 17:45:00,PT15M,Germany,-1002.0319999999999
25,2021-12-01 17:30:00,PT15M,Germany,-1001.632
26,2021-12-01 17:15:00,PT15M,Germany,-1001.612
27,2021-12-01 17:00:00,PT15M,Germany,-972.84
28,2021-12-01 16:45:00,PT15M,Germany,-750.2760000000001
29,2021-12-01 16:30:00,PT15M,Germany,-719.888
30,2021-12-01 16:15:00,PT15M,Germany,-699.2360000000001
31,2021-12-01 16:00:00,PT15M,Germany,-671.3480000000001
