Datetime;Resolution code;Region;Measured & upscaled;Most recent forecast;Day Ahead 11AM Forecast;Day-ahead 6PM forecast;Week-ahead forecast;Monitored capacity;Load factor
2022-06-22T22:00:00+02:00;PT15M;Luxembourg;0.0;0.0;0.0;0.0;0.0;153.14;0.0
2022-06-22T22:00:00+02:00;PT15M;West-Flanders;0.0;0.02;0.0;0.0;0.0;944.04;0.0
2022-06-22T22:00:00+02:00;PT15M;Liège;0.0;0.0;0.0;0.0;0.0;634.93;0.0
2022-06-22T21:45:00+02:00;PT15M;Wallonia;0.0;0.88;0.0;0.0;0.0;1536.84;0.0
2022-06-22T21:45:00+02:00;PT15M;Belgium;0.0;8.27;0.0;0.0;0.0;6004.92;0.0
2022-06-22T21:45:00+02:00;PT15M;West-Flanders;0.0;2.2;0.0;0.0;0.0;944.04;0.0
2022-06-22T21:45:00+02:00;PT15M;Antwerp;0.0;1.76;0.0;0.0;0.0;1129.31;0.0
2022-06-22T21:45:00+02:00;PT15M;Flemish-Brabant;0.0;0.58;0.0;0.0;0.0;514.58;0.0
2022-06-22T21:45:00+02:00;PT15M;Luxembourg;0.0;0.01;0.0;0.0;0.0;153.14;0.0
2022-06-22T21:45:00+02:00;PT15M;Namur;0.0;0.1;0.0;0.0;0.0;195.15;0.0
2022-06-22T21:45:00+02:00;PT15M;East-Flanders;0.0;2.21;0.0;0.0;0.0;1127.04;0.0
2022-06-22T21:45:00+02:00;PT15M;Flanders;0.0;7.24;0.0;0.0;0.0;4339.61;0.0
2022-06-22T21:45:00+02:00;PT15M;Hainaut;0.0;0.52;0.0;0.0;0.0;431.13;0.0
2022-06-22T21:45:00+02:00;PT15M;Limburg;0.0;0.49;0.0;0.0;0.0;624.64;0.0
2022-06-22T21:45:00+02:00;PT15M;Brussels;0.0;0.15;0.0;0.0;0.0;128.47;0.0
2022-06-22T21:45:00+02:00;PT15M;Walloon-Brabant;0.0;0.12;0.0;0.0;0.0;122.48;0.0
2022-06-22T21:45:00+02:00;PT15M;Liège;0.0;0.13;0.0;0.0;0.0;634.93;0.0
2022-06-22T21:30:00+02:00;PT15M;Belgium;0.0;34.76;0.0;0.0;0.0;6004.92;0.0
2022-06-22T21:30:00+02:00;PT15M;Brussels;0.0;0.66;0.0;0.0;0.0;128.47;0.0
2022-06-22T21:30:00+02:00;PT15M;Luxembourg;0.0;0.38;0.0;0.0;0.0;153.14;0.0
2022-06-22T21:30:00+02:00;PT15M;West-Flanders;0.0;7.53;0.0;0.0;0.0;944.04;0.0
2022-06-22T21:30:00+02:00;PT15M;Flemish-Brabant;0.0;2.67;0.0;0.0;0.0;514.58;0.0
2022-06-22T21:30:00+02:00;PT15M;Walloon-Brabant;0.0;0.59;0.0;0.0;0.0;122.48;0.0
2022-06-22T21:30:00+02:00;PT15M;Hainaut;0.0;2.26;0.0;0.0;0.0;431.13;0.0
2022-06-22T21:30:00+02:00;PT15M;Antwerp;0.0;7.34;0.0;0.0;0.0;1129.31;0.0
2022-06-22T21:30:00+02:00;PT15M;Liège;0.0;1.63;0.0;0.0;0.0;634.93;0.0
2022-06-22T21:30:00+02:00;PT15M;Namur;0.0;0.71;0.0;0.0;0.0;195.15;0.0
2022-06-22T21:30:00+02:00;PT15M;East-Flanders;0.0;8.21;0.0;0.0;0.0;1127.04;0.0
2022-06-22T21:30:00+02:00;PT15M;Flanders;0.0;28.54;0.0;0.0;0.0;4339.61;0.0
2022-06-22T21:30:00+02:00;PT15M;Wallonia;0.0;5.57;0.0;0.0;0.0;1536.84;0.0
2022-06-22T21:30:00+02:00;PT15M;Limburg;0.0;2.8;0.0;0.0;0.0;624.64;0.0
2022-06-22T21:15:00+02:00;PT15M;Wallonia;0.0;14.6;0.0;0.0;0.0;1536.84;0.0
2022-06-22T21:15:00+02:00;PT15M;Namur;0.0;1.93;0.0;0.0;0.0;195.15;0.0
2022-06-22T21:15:00+02:00;PT15M;West-Flanders;0.0;14.77;0.0;0.0;0.0;944.04;0.0
2022-06-22T21:15:00+02:00;PT15M;Flemish-Brabant;0.0;6.24;0.0;0.0;0.0;514.58;0.0
2022-06-22T21:15:00+02:00;PT15M;Hainaut;0.0;5.09;0.0;0.0;0.0;431.13;0.0
2022-06-22T21:15:00+02:00;PT15M;Antwerp;0.0;15.93;0.0;0.0;0.0;1129.31;0.0
2022-06-22T21:15:00+02:00;PT15M;Brussels;0.0;1.52;0.0;0.0;0.0;128.47;0.0
2022-06-22T21:15:00+02:00;PT15M;Liège;0.0;4.9;0.0;0.0;0.0;634.93;0.0
2022-06-22T21:15:00+02:00;PT15M;Luxembourg;0.0;1.26;0.0;0.0;0.0;153.14;0.0
2022-06-22T21:15:00+02:00;PT15M;East-Flanders;0.0;16.8;0.0;0.0;0.0;1127.04;0.0
2022-06-22T21:15:00+02:00;PT15M;Flanders;0.0;60.68;0.0;0.0;0.0;4339.61;0.0
2022-06-22T21:15:00+02:00;PT15M;Limburg;0.0;6.94;0.0;0.0;0.0;624.64;0.0
2022-06-22T21:15:00+02:00;PT15M;Belgium;0.0;76.8;0.0;0.0;0.0;6004.92;0.0
